What object does the book begin and end with?	A rock — specifically, the silicon that becomes, across the whole chain, the substrate that now thinks and answers.
What are the three parts of the book, as summarised in Chapter 42?	Part I: how silicon is made. Part II: how silicon thinks. Part III: what happens when many thinking machines start talking.
What is the loom metaphor in the chapter?	A loom of cognition: biological and artificial minds are threads; the wire and protocols of Part III are the frame and shuttle; what they produce together — conversations, inferences, new sciences, new institutions — is the fabric.
Who does the chapter say is in charge of the pattern on the loom?	Nobody — vendors, regulators, engineers, and users are all weaving in different directions with different interests on the same loom.
What does the chapter say it took to turn sand into a planet that can think about itself?	Time, money, discipline, and a great many people who were good at their narrow task — no magic, no new physical law.
How does the chapter characterise each step in the silicon-to-superintelligence chain?	As ordinary engineering — each link was the next obvious thing to build, by people who could draw the diagram for the step after.
What does the chapter say the book has not argued?	That AI is good, that AI is bad, that superintelligence is imminent, or that it is impossible.
What is the book's single argument, per the closing chapter?	That the chain by which sand becomes thought is real, knowable, and made of ordinary parts — and anyone who wants to think clearly about the future has a right to see the chain whole.
What does the chapter identify as the difference between a future that goes well and one that goes badly?	The quality of attention paid by the people assembling it, and by the rest of us watching, while the assembly is still being done.
How does the closing image describe the speed of the silicon's response?	Answering billions of times a day in roughly the time it takes you to blink.
